"","CHP212_WT_DMSO_1","CHP212_WT_DMSO_2","CHP212_WT_Nutlin_1","CHP212_WT_Nutlin_2","CHP212_KO_DMSO_1","CHP212_KO_DMSO_2","CHP212_KO_Nutlin_1","CHP212_KO_Nutlin_2"
"ENSG00000091129",226,219,410,380,292,346,415,378
"ENSG00000091136",22289.356,20689.154,14823.575,15228.894,27339.368,29376.933,23032.089,21125.446
"ENSG00000091137",31.006,41.356,38.889,31.063,44.965,61.714,58.842,36.318
"ENSG00000091138",0,152,2,1,2,1,2,205
"ENSG00000091140",7573.646,6972.847,7195.422,6562.106,7280.633,8110.066,7290.911,6320.556
"ENSG00000091157",1196,1050.865,1324.808,1315,1604.382,1638.558,1780,1392.785
"ENSG00000091164",4421.591,4181.111,4521.787,3468.058,6152.488,6749.31,6225.029,5497.505
"ENSG00000091181",0,1,0,2,0,2,6,0
"ENSG00000091262",14.626,23.758,19.534,16.536,7,6,22,19.046
"ENSG00000091317",7232.392,6509.234,6661.575,6278.573,7578.625,8039.529,7117.127,6394.655
"ENSG00000091409",2947.999,2812.001,2920.001,2926,813.999,816,1201.999,1242.002
"ENSG00000091428",356.999,324,279,336.001,278.001,330,368,304.001
"ENSG00000091436",6232.92,5530.59,3982.361,3987.207,7163.499,7774.42,5484.825,5188.527
"ENSG00000091482",0,0,0,2,0,0,0,0
"ENSG00000091483",7765.001,7111,5071.999,4351,4986.998,5251.002,4280,3720
"ENSG00000091490",19381,18479,16456.001,15370,10642.001,11262,10890.001,10605
"ENSG00000091513",544.327,456.395,815.849,783.728,654.672,767.179,965.023,793.775
"ENSG00000091527",15273,14544.001,12473.001,11240,15299.001,17102.999,14502,13153.001
"ENSG00000091536",48.001,51,77,58,26.001,23,37.999,60.004
"ENSG00000091542",7299.999,6637,5691.002,5303.001,7246,7783,6537,6095
"ENSG00000091583",0,0,0,2,0,4,2,0
"ENSG00000091592",116.234,56.262,625.129,562.351,307.498,293.214,353.713,367.09
"ENSG00000091622",41.01,19.004,74.028,79.016,59.024,72.033,87.015,78.077
"ENSG00000091640",3355.127,3113.837,3032.544,2600.314,3799.45,4087.158,3799.187,3458.461
"ENSG00000091651",11489.752,10886.748,6747.41,5701.483,11126.057,11917.008,7482.916,7023.937
"ENSG00000091656",3131,2976.999,3013,3317,2390,2503.999,2238.999,2157
"ENSG00000091664",0,0,0,0,0,0,0,0
"ENSG00000091704",20,23,34,31,27,22.999,58,42
"ENSG00000091732",2455.001,2166.999,2371.998,1996.001,2517.999,2691.999,2429.001,2255
"ENSG00000091831",24,24,64,43,56,56,38,42
"ENSG00000091844",1041.998,953,1022,1025,1053,1156.001,1179,1163
"ENSG00000091879",71.391,36.052,92.045,88.413,44.451,70.627,53.942,80.062
"ENSG00000091947",2859,2713.001,2936,2625.999,3773.999,4185.001,4342.001,3733.999
"ENSG00000091972",21.769,14.237,13.56,13.332,21.566,15.882,39.223,26.235
"ENSG00000091986",3806,3405.999,2366.013,2193.199,6873.01,7438.024,5402.195,4917.082
"ENSG00000092009",0,0,0,0,4,0,4,0
"ENSG00000092020",2471.967,2172.909,2233.758,1772,2479.816,2762.859,2111.897,1955.967
"ENSG00000092036",1908.003,1822,1080.998,1015,2967.001,3240,2636.001,2200.999
"ENSG00000092051",410.999,336,948,993.999,1486.001,1621.001,2787.001,2522
"ENSG00000092054",0,0,0,0,0,0,0,0
"ENSG00000092067",0,0,0,0,0,0,0,0
"ENSG00000092068",112,39,428.001,385.998,2,12,71,73
"ENSG00000092096",1401,1258,1200.998,984,2709,3069.998,2674.999,2270
"ENSG00000092098",1771.321,1219.23,1573.284,1657.794,2286.621,2510.438,2116.668,1776.402
"ENSG00000092108",2685.614,2732.171,3027.119,2740.459,3793.111,3835.504,3771.849,3495.275
"ENSG00000092140",4327.001,4143,2856,2569,4971.999,5567.001,3790,3230
"ENSG00000092148",9640.886,9284.958,7916.947,8749.796,11434.701,12355.988,11039.652,9811.187
"ENSG00000092199",70577.818,67085,58894.925,50867,72747.47,78382.405,63384.564,58169.447
"ENSG00000092200",12,12,1,7,11,7,11,5
"ENSG00000092201",28950.068,27252.511,16269.609,15496.646,28263.514,30303.712,21099.171,20350.501
"ENSG00000092203",3816.875,3637.564,4800.253,4457.475,5291.714,5564.239,5529.672,4502.492
"ENSG00000092208",1005.002,819.999,716,646.001,1191,1412.001,1193.001,1058
"ENSG00000092330",2226.21,1777.942,1934.067,1744.446,3165.599,3344.651,2949.923,2859.658
"ENSG00000092345",0,0,0,0,0,0,0,0
"ENSG00000092377",168,147,124,91,209.001,219.001,180.001,125
"ENSG00000092421",5005,4727.001,4490.998,4430.003,3749,3772.001,3139,2684.998
"ENSG00000092439",8137.303,7558.629,8028.225,7650.447,8340.523,9317.19,9041.922,7623.192
"ENSG00000092445",3230.937,2772.146,1495.48,1459.923,4094.114,4729.439,3133.099,2697.48
"ENSG00000092470",4010.689,3597.32,215.064,239.027,5397.57,5730.274,2050.186,1764.239
"ENSG00000092529",168.336,188.038,298.121,317.903,318.391,327.776,616.823,507.442
"ENSG00000092531",2745.001,2819.999,3864.898,3395.002,3948.372,4304.22,4516.338,4240
"ENSG00000092607",6,1,2,2,132,116.001,175,146
"ENSG00000092621",11462.001,10230.998,4710,4372.999,14493,16556.999,14601,12224
"ENSG00000092758",2123.951,2108,3832,3261.001,1755,1898,2675,2400
"ENSG00000092820",29843.001,28227,29192,26874,28798,31577,28147,26034
"ENSG00000092841",27588.561,25915.897,23542.791,19527.512,36740.031,37853.55,26317.938,25695.125
"ENSG00000092847",2917.001,2705.999,2912.999,2975,4382.001,5075.999,4722.001,4099
"ENSG00000092850",15,23,18,12,15,17,6,16
"ENSG00000092853",2209.376,2269.236,284.5,256.975,2311.611,2356.851,614.362,548.68
"ENSG00000092871",1581.177,1548.991,1616.068,1119.603,2470.841,2647.255,2436.259,1904.821
"ENSG00000092929",470.492,356.384,526.632,605.609,653.001,612.293,753.933,652.57
"ENSG00000092931",2372.228,2204.046,2600.186,2343.994,4093.404,3981.857,4185.91,3679.78
"ENSG00000092964",8442,7436.001,3547,3018.999,10499.999,11712,6763.001,6335
"ENSG00000092969",200,195,116,138.999,986,889,594,533.999
"ENSG00000092978",1854.351,1824.43,2094.999,2005.17,2811.358,2999.499,2482.994,2060.274
"ENSG00000093000",8221.254,7916.195,5395.089,5187.959,8765.581,9724.39,7216.367,6300.56
"ENSG00000093009",4201.999,4271.003,684.999,809,4196.002,4461.001,1106.999,1091
"ENSG00000093010",5686,5301.998,6108.301,4647,4196,4241.002,5007,4367.999
"ENSG00000093072",31.267,34.783,57.367,61.59,39.423,31.035,45.286,52.783
"ENSG00000093134",0,0,0,0,0,0,0,0
"ENSG00000093144",5961.517,5703.014,5504.974,4285.993,6357,6968,6009.003,5507.222
"ENSG00000093167",2824.999,2701,2668.08,2502.791,4547.001,4854.046,4526.027,4216.181
"ENSG00000093183",4059.26,3494.012,3299.41,3253.912,4679.069,5102.198,4307.137,3723.474
"ENSG00000093217",707.668,671.177,195.128,267.384,1235.47,1324.073,847.049,835.413
"ENSG00000094631",2806.315,2515.377,2860.048,2702.323,4699.174,4961.352,5066.703,4352.575
"ENSG00000094661",47.687,35.709,44.026,51.099,59.347,59.387,77.271,82.396
"ENSG00000094755",146.058,175.192,131.772,170.688,997.617,1064.813,1132.825,801.836
"ENSG00000094804",13050.29,12751.666,1470.43,1410.927,10789.192,11361.026,2392.938,2346.821
"ENSG00000094841",671,620.001,728.001,749,940.998,972,875,818
"ENSG00000094880",5141.999,4830,3925.999,3665.001,6240.998,7143.002,5295.999,4870.002
"ENSG00000094916",29999.944,27614.347,15675.429,15797.373,33537.607,37070.726,25764.571,22411.278
"ENSG00000094963",2,1,0,1,4,9,0,2
"ENSG00000094975",4372.001,4178.001,4282.999,4390.997,5681.001,6210.999,5836.999,5295.998
"ENSG00000095002",6196.27,5993.391,1795.463,1790.001,6325.042,6957.223,3810.948,3693.904
"ENSG00000095015",11542,11308,10635,10857,12437,13680,14046,12642
"ENSG00000095059",4505.642,4224.207,4285.675,3636.918,5019.206,5528.525,5105.236,4445.121
"ENSG00000095066",2047.332,1914.027,1764.359,1759.884,2591.785,2849.156,2785.89,2514.212
"ENSG00000095110",0,16,0,3,0,0,0,21
"ENSG00000095139",12782.44,12617.132,13723.676,13083.289,12665.227,13160.457,12172.251,11228.327
"ENSG00000095203",140,163,82,78,499,598,436,459
"ENSG00000095209",2480,2134,1192.999,1155,1864.999,2020.001,1906,1412
"ENSG00000095261",3522,3567,2949.001,2710.001,3623.001,3935.999,3398.999,3179.999
"ENSG00000095303",43,25,52,45,125,164,170,173.999
"ENSG00000095319",8354.132,7422.641,4552.686,4927.539,9055.558,9966.134,7589.962,6945.487
"ENSG00000095321",867.136,676.704,941.12,939.149,1137.263,1402.25,1261.019,1106.105
"ENSG00000095370",40,26,18,12,245.001,300,89,115.999
"ENSG00000095380",3076.98,2927.597,1855.114,1632.048,3072.62,3599.683,2517.575,2370.365
"ENSG00000095383",203,218,657.999,616,335.001,303,533,413.001
"ENSG00000095397",412,348,1392.999,1346.998,657.001,675.001,1265,1063.001
"ENSG00000095464",11,5,13,22,7,9,46,35
"ENSG00000095485",2480.044,2176.769,1476.106,1323.905,3108.358,3115.473,2673.423,2271.117
"ENSG00000095539",818.127,692.24,1171.252,1105.807,1519.178,1562.363,1560.75,1491.027
"ENSG00000095564",8714,8082.001,7802,8874,10866,11843,11092,9205
"ENSG00000095574",1824,1652,2231,2211.999,1857,1905.001,2350,1737.001
"ENSG00000095585",16.62,13.069,191.972,165.016,79.943,82.998,344.3,286.869
"ENSG00000095587",125.084,68.702,106.889,69.835,4264.067,4646.83,5350.191,4280.782
"ENSG00000095596",30.999,33.999,138.999,147.001,21,16.999,23,13
"ENSG00000095627",8.46,15.794,10.082,11.167,3.455,14.687,17.121,13.928
"ENSG00000095637",52,41,1255,1249.001,124,150,785,671.001
"ENSG00000095713",38,22,77,96,26,42,37,40
"ENSG00000095739",241,211,248,257,108,126,160,124
"ENSG00000095752",113,64.027,777.56,687.305,149.001,177.03,493.967,384.23
"ENSG00000095777",0,0,0,0,0,0,1,0
"ENSG00000095787",12602.967,11875,11045.468,10921.535,15268.564,16648.05,14227.624,13128.141
"ENSG00000095794",1130.001,1024.003,1220.999,914.997,1975,2180.001,2028,1932.998
"ENSG00000095906",6295.887,6141.198,5329.996,4741.107,7075.963,7578.366,6744.856,6142.008
"ENSG00000095917",0,0,0,0,7,0,9,6
"ENSG00000095932",2,8,8,12,21,20,43,34
"ENSG00000095951",42.031,43.118,42.126,47.373,114.658,95.049,111.224,109.166
"ENSG00000095970",0,0,241,202,0,2,452,383
"ENSG00000095981",0,0,0,0,0,0,0,0
"ENSG00000096006",0,0,0,0,0,0,0,0
"ENSG00000096060",6798.011,6338.026,1841.036,1689.062,5620.45,6023.058,2893.053,2826.155
"ENSG00000096063",12454.74,10834.591,8131.373,7842.336,11271.927,12590.201,9449.915,8937.089
"ENSG00000096070",2041.999,1867.001,1693.999,1791.001,3437.001,3622,3724,3081
"ENSG00000096080",2760.912,2727.517,2851.356,2409.566,3258.166,3408.849,3134.555,2954.472
"ENSG00000096088",2,0,0,0,2,0,0,0
"ENSG00000096092",1811,1810,1363,1070,2053,2169,1768,1574
"ENSG00000096093",2895.187,2711.704,3056.325,2762.558,3443.536,3457.227,3467.942,3112.306
"ENSG00000096150",0,0,0,0,0,0,0,0
"ENSG00000096155",0,43.021,0,48.423,0,0,0,0
"ENSG00000096171",4134.059,3767.23,3597.171,3658.812,3338.322,3803.508,3248.66,2995.753
"ENSG00000096264",0,0,0,0,0,2,0,0
"ENSG00000096384",241052.5,227458.903,212649.931,191873.541,260207.363,278939.738,254879.732,232901.866
"ENSG00000096395",0,0,0,0,0,0,1,0
"ENSG00000096401",6415.774,6086.131,4127.01,4212.017,7565.757,8037.688,5616.005,5295.06
"ENSG00000096433",2609.623,2452.333,1310.527,1441.294,618.551,740.367,568.773,511.038
"ENSG00000096654",993.999,829,593.001,645.001,1700,1707,1215.001,1100
"ENSG00000096696",16,26,0,0,6,0,6,40
"ENSG00000096717",3548,3348.999,2650,2439.999,4374.001,4823.001,4283,3686.999
"ENSG00000096746",30280.001,29287,26236.001,22434,37392.001,39335.001,35613.999,31280.998
"ENSG00000096872",452.994,443.993,595.97,570.968,1386.509,1434.001,1588.002,1497.01
"ENSG00000096968",263,248,354,337,471,553,621,461
"ENSG00000096996",45.175,34.861,74.159,94.594,33.109,37.362,34.775,37.619
"ENSG00000097007",7107,6669,5663,5592,13509,14424,12321,11108
"ENSG00000097021",2836,2816,2649,2024,2770.999,3070.999,2404.001,2157
"ENSG00000097033",2368.86,2473.125,2377.389,2093.429,3287.231,3464.728,3413.195,2744.784
"ENSG00000097046",2204,2080,848.999,699,2995,3380,2112,1911
"ENSG00000097096",282.3,258.495,258.229,305.303,297.986,332.447,251.7,229.475
"ENSG00000099139",86.683,89.819,181.878,129.9,127.255,115.641,202.426,193.703
"ENSG00000099194",58500,54144.062,24517,22645,32340,36127.999,22252,20450
"ENSG00000099203",2252.656,2110.875,1759.427,1420.677,2746.162,3074.612,2620.361,2109.582
"ENSG00000099204",3971.002,3327,6511,6584.002,15209,16933.998,15629,13412
"ENSG00000099219",6731.506,6276.014,6962.18,6934.386,2373.827,2454.367,2439.293,2404.286
"ENSG00000099246",6611.001,6437,7441.998,6613,10768.999,11448.002,9742.003,8816.001
"ENSG00000099250",15726.001,14880.004,14747.001,14266.011,10423.999,10510.001,9538,9419.998
"ENSG00000099251",101.977,97.8,244.994,165.582,67.401,59.802,90.45,63.359
"ENSG00000099256",264,214,65,24,89,75,44,60
"ENSG00000099260",258,185.001,204,115,272,228,208.999,168
"ENSG00000099282",2098.001,1872,1162,1068,2918,3097.999,2227,1719
"ENSG00000099284",8274.982,7545.362,7384.064,6328.136,10640.951,11734.34,10647.473,9427.889
"ENSG00000099290",3251.843,2965.521,3793.78,3624.711,4092.93,4312.965,4459.376,4061.797
"ENSG00000099308",1545.218,1342.004,1719.985,1593.088,1715.053,1993.255,1876.762,1758.367
"ENSG00000099326",2825.001,2371,3649.001,3691,3309.001,3591,4519,4130
"ENSG00000099330",385.925,387.93,323.949,288.088,737.856,861.708,690.148,628.188
"ENSG00000099331",6713.999,5919.001,7955.003,9591.997,5860.998,6762.999,6459,6047.002
"ENSG00000099337",223.785,293.204,867.865,868.892,256.061,355.028,632.723,472.103
"ENSG00000099338",25.639,38.069,169.936,189.202,94.979,122.762,312.86,165.719
"ENSG00000099341",11482.644,10583.682,12248.693,10725.977,10165.479,11425.188,11021.215,9978.113
"ENSG00000099364",3773,3334,4321,4410,4286,4747,4920.999,4161.001
"ENSG00000099365",115.004,113.027,179,162.101,506.006,432,522.715,524.001
"ENSG00000099377",107,139.001,190,115,230,242.001,287,259
"ENSG00000099381",4477,4244.001,3562,3911,4524.001,5160.001,4382.999,4015
"ENSG00000099385",2695.598,2374.762,2311.472,1759.549,3195.511,3707.625,2968.214,2728.924
"ENSG00000099399",20,30,12,18,0,0,0,0
"ENSG00000099617",1803,1610,1412,1123,1759,1899,1586,1360
"ENSG00000099622",17251.997,16632.005,17106.001,14795.998,29045.001,29957.005,28706.004,25597.003
"ENSG00000099624",4843.535,4797.224,4664.291,3526.977,5023.761,5030.988,4582.176,4057.055
"ENSG00000099625",1838,1666,1544.902,1451.011,1261.001,1314.012,1701,1468.014
"ENSG00000099715",294.348,253.472,312.661,339.834,404.618,411.355,453.876,419.243
"ENSG00000099721",0,0,0,0,0,0,0,0
"ENSG00000099725",256.929,252.108,809.772,909.007,231.298,143.519,584.793,590.568
"ENSG00000099769",6,2,8,8,12,10,15,6
"ENSG00000099783",39423,38652.999,31996.999,29825.998,41076.001,44785,33459.001,30736
"ENSG00000099785",289,203,684.001,516,434,463.999,645,559.999
"ENSG00000099795",4353,4145,3923,3536,5999,6602,5988,5165
"ENSG00000099797",6902.739,7331.604,5362.589,3886.212,8535.96,8753.43,7150.865,6168.622
"ENSG00000099800",10034.806,9184.834,7788.92,6482.827,9409.749,10170.691,8647.649,7347.798
"ENSG00000099804",5112.001,4628.999,4986,4317.001,5336.001,6081,5794,4829.001
"ENSG00000099810",1330.925,1131.775,683.456,751.526,8090.141,8719.379,6704.106,5735.95
"ENSG00000099812",8,50,26,26,25,32,50,70
"ENSG00000099814",2040.001,1886,7968,8316.999,2221,2378.999,5708,5280
"ENSG00000099817",13664.626,13045.97,9790.011,8754.009,11924.949,13114.005,9894.002,9173.998
"ENSG00000099821",6833.902,5719.422,6247.203,6071.663,6758.001,7716.756,7165.753,6654.614
"ENSG00000099822",930.5,721.005,1009.08,1115.994,854.573,878.4,1193.125,1021.217
"ENSG00000099834",1.996,1.871,0,2.316,1,2.687,0,0
"ENSG00000099840",106.181,78.664,205.055,175.61,175.894,128.416,211.049,175.912
"ENSG00000099849",226.569,210.668,169.151,139.999,200,204.446,163.41,169.871
"ENSG00000099860",1079.002,1050,1411.001,1144,1224,1155.999,1274,1031
"ENSG00000099864",2146,1819.038,4359.001,4096.002,2921,3060.001,4851.001,4258.999
"ENSG00000099866",17,14,31,14,31,31,32,23
"ENSG00000099875",8372,7217.998,14236.003,13660.001,6431.001,7236.998,9767.002,9028.999
"ENSG00000099889",6229,5645,14191.998,14265.999,10583.997,11485.002,13269,12363.002
"ENSG00000099899",3168.632,2958.166,2827.767,2749.883,3673.474,3954.203,3877.67,3683.145
"ENSG00000099901",23377.368,22951.832,9524.208,7823.121,19595.526,20825.799,12896.33,11970.854
"ENSG00000099904",5129.001,4696.002,6564.999,5394.002,5743,5798.002,6317,5664.001
"ENSG00000099910",1052.412,943.837,928.657,947.35,2299.813,2458.116,2667.618,2373.014
"ENSG00000099917",7086.996,6907.001,8400.998,7851.999,6501,6583.998,7116,6341.001
"ENSG00000099937",8,3,1,3,0,8,5,7
"ENSG00000099940",2750.683,2591.145,2070.226,1825.457,3134.264,3461.283,2904.159,2471.343
"ENSG00000099942",13427.796,11753.704,13513.231,13341.299,11675.559,13289.237,11371.754,10099.999
"ENSG00000099949",4333,4038.001,5618.001,5461.999,5562.002,6095.002,7057.999,6327.997
"ENSG00000099953",981.019,842.875,5330.004,4615.91,885.496,1011.139,2366.894,2122.72
"ENSG00000099954",7.275,9.32,12.656,16.075,29.704,23.152,14.753,15.593
"ENSG00000099956",1623.608,1156.926,1605.578,1497.157,1661.331,1580.525,2309.248,1626.607
"ENSG00000099957",164.998,136,169,166.999,393.001,383.001,335,290
"ENSG00000099958",0,7,0,0,10.002,6.782,1.8,1.313
"ENSG00000099960",0,7.321,0,0,11.567,1.263,5.502,7.955
"ENSG00000099968",4655.001,4373.115,6063.002,6023.001,4840.033,5150,5001.138,4535.001
"ENSG00000099974",0,29.815,0,84.087,215.838,0,0,75.478
"ENSG00000099977",1926.613,1969.586,1654.221,1303.091,2207.97,2424.531,2333.057,1691.477
"ENSG00000099984",0,4.319,0,0,20.434,0,1.869,1.874
"ENSG00000099985",6,2,0,2,0,2,0,2
"ENSG00000099991",6422,5887,5523.997,5518.001,5351,6127.999,5088,4717.999
"ENSG00000099992",462.174,420.219,504.628,462.92,549.472,600.543,498.304,466.494
"ENSG00000099994",27,16,30,62,19,23,52,35
"ENSG00000099995",6684.263,6246.003,6641.425,6233.499,7873.971,8453.826,7856.949,7001.591
"ENSG00000099998",69.972,60.299,92.1,96.45,133.968,102.892,153.035,115.874
"ENSG00000099999",801.925,669.305,1209.687,983.64,1623.365,1918.579,2190.134,1905.305
"ENSG00000100003",585.648,518.748,883.547,843.883,529.658,610.942,642.757,584
"ENSG00000100012",0,0,0,0,0,0,0,0
"ENSG00000100014",5510.523,5182,4445.481,4656.905,7057.782,7948.836,6712.002,6101.183
"ENSG00000100023",4986.815,4588.988,4799.299,4230.305,6058.061,6062.212,5283.715,4781.38
"ENSG00000100024",14.862,20.937,25.51,33.28,33.439,18.813,29.351,26.31
"ENSG00000100027",314.253,282.141,270.274,212.244,1323.776,1692.093,1204.342,981.248
"ENSG00000100028",7694.929,7673.367,5584.787,4842.401,9219.298,10126.498,6916.097,6485.095
"ENSG00000100029",14280.998,13495,11831.999,10881.999,12476.999,12730,11843.999,10912.999
"ENSG00000100030",10038,9374.999,8685.001,7978,10547,11361,10082,8834.999
"ENSG00000100031",226.607,126.863,758.135,855.712,283.709,255.403,447.715,373.828
"ENSG00000100033",138.705,117.375,599.721,570.425,349.589,358.497,946.857,739.302
"ENSG00000100034",6036.897,5355.792,6592.433,6561.734,5864.628,6768.18,6138.075,5738.559
"ENSG00000100036",375,356.023,720.301,722.333,268.253,338.273,369.213,330.475
"ENSG00000100038",4302.413,3834.577,4744.85,4234.53,5044.026,5063.851,5945.854,5231.765
"ENSG00000100053",16,11,25,9,9,15,23,20
"ENSG00000100055",29,20,4,15,0,4,6,2
"ENSG00000100056",1939,1692.001,1611.001,1607.257,2276.999,2617,2416,2177
"ENSG00000100058",257.014,300.997,282,274.004,400.518,392.019,439.998,352.009
"ENSG00000100060",329.999,267,529,423.999,1081.999,1312.999,1158.002,1150.001
"ENSG00000100065",2886.001,2732,3708,3797.998,3578.001,3929.999,3857,3595.998
"ENSG00000100068",469,378,474,448,620,625,625,611
"ENSG00000100075",6046.001,5729.999,3629,3058,4530,4834,3515.999,3218
"ENSG00000100077",1422.88,1390.566,1287.33,1287.326,2400.328,2636.546,2527.05,2152.822
"ENSG00000100078",351,308,233,236,266,271,207,226
"ENSG00000100079",2,5,6,0,2,2,2,4
"ENSG00000100083",4453.847,3899.025,4771.907,4882.205,5117.186,5417.899,5784.209,5295.014
"ENSG00000100084",2109.358,2144.255,1846.04,1480.993,2247.697,2765.824,2387.615,2092.92
"ENSG00000100092",3519.835,2957.919,2239.551,1998.444,1694.329,1786.732,1417.98,1400.694
"ENSG00000100095",0,0,0,0,0,2,0,2
"ENSG00000100097",43637,38770.999,52392.999,42839.001,32910,34157,31116,31595.999
"ENSG00000100099",3416.904,3309.653,3202.855,3175.698,4774.578,5065.224,4987.553,4513.428
"ENSG00000100100",273.823,236.073,395.671,386.851,785.051,962.971,853.042,799.964
"ENSG00000100101",0,0,0,0,2.872,0,0,0
"ENSG00000100104",2023.396,2011.6,1940.61,1826.725,2573.939,2701.024,2549.956,2304.882
"ENSG00000100105",5198,4834,4086.001,3671.003,7643.001,8504.999,7695,6779
"ENSG00000100106",4776.57,4586.277,6562.159,6528.582,4836.444,5435.641,5338.738,4671.176
"ENSG00000100109",3162.578,2656.665,3213.693,3080.076,3738.389,4314.744,3558.393,3501.613
"ENSG00000100116",1143.001,1054.001,784,621.999,1383.999,1468.989,949.884,976.999
"ENSG00000100121",0,0,1,2,0,0,1,0
"ENSG00000100122",2,4,0,1,5,10,2,4
"ENSG00000100124",2123.91,1959.546,1785.969,1728.878,2335.295,2498.451,2532.037,2091.974
"ENSG00000100129",16459.783,14719.842,20474.924,19212.529,23542.993,26005.242,27675.005,23939.745
"ENSG00000100138",12415.001,11970.002,9311.999,7344.001,13273,13779.999,12098,10899.001
"ENSG00000100139",2280.659,2106.389,8949.506,9747.518,1793.907,2042.579,6090.337,5353.889
"ENSG00000100142",6167.767,6033.595,5779.673,5089.148,6929.588,7262.246,5636.126,5466.003
"ENSG00000100146",28,27,28,31.999,43,22,37.03,31.007
"ENSG00000100147",2636.45,2489.667,2378.466,2215.131,2927.066,3382.679,2374.147,2175.83
"ENSG00000100150",1287.38,1130.079,1041.426,1171.325,1651.555,1713.108,1457.224,1225.55
"ENSG00000100151",994.999,1028.001,1484.999,1487.003,1894.001,2128.998,2212.001,2151.001
"ENSG00000100154",1786.001,1714.011,1456.086,1492.002,4869.936,5113.073,4718.913,4366.026
"ENSG00000100156",13,5,15,41,30,44,36,43
"ENSG00000100162",2224.001,2136,599,561,1833.001,2160.999,785.002,631.001
"ENSG00000100167",855.001,723,383,337,1459,1581.001,1269,1027.001
"ENSG00000100170",7,12,0,0,0,0,2,8
"ENSG00000100181",0,0,0,0,0,2,1,0
"ENSG00000100191",1,2,4,6,6,3,6,9
"ENSG00000100196",1321,1021,570,403,815,799.001,527,518
"ENSG00000100197",0,0,1.695,0,0,0,0,0
"ENSG00000100201",62976.999,59082,60000.002,60227,75219.002,80901,69134.001,61976.002
"ENSG00000100206",96.202,50.292,42.466,56.613,101.667,126.243,91.421,72.465
"ENSG00000100207",152.338,211.115,126.823,118.01,171.341,120.101,150.106,172.809
"ENSG00000100209",727.795,702.806,688.195,735.295,861.848,860.399,839.535,716.102
"ENSG00000100211",1254.001,1374.002,1312,1051.998,1966.999,2242,1830.999,1739.999
"ENSG00000100216",6726,6740,6341,5041,6919,7612,6347,6081
"ENSG00000100218",32.012,5,14.508,19.043,49.718,38.356,17.397,46.86
"ENSG00000100219",5617.001,5091.999,6401.999,5600.001,6890.001,7033.001,8351.001,7102.001
"ENSG00000100220",7457,6968,6886,6365.999,9194.001,9865.999,8245,7589.999
"ENSG00000100221",5461.96,5132.362,4328.61,3982.112,6811.109,7309.728,6182.569,5340.057
"ENSG00000100225",6868.996,6236.426,6486.972,5592.832,7238.181,7959.586,6954.874,6406.687
"ENSG00000100226",5896.081,5184.821,4624.546,4795.549,6117.453,6639.443,5195.388,4796.17
"ENSG00000100227",10191.812,9102.961,8961.32,8152.543,10462.713,11310.139,9782.744,8820.384
"ENSG00000100228",1348.398,1274.238,839.038,867.038,1188.839,1370.407,983.946,824.127
"ENSG00000100234",5046,4750,14544,13774,24600,25550,28379,23762
"ENSG00000100239",4019.586,3296.733,4710.119,4400.798,4827.487,5280.026,5657.816,5202.717
"ENSG00000100241",10223.329,9380.179,15560.353,16701.181,13586.756,15125.576,17899.3,16372.711
"ENSG00000100242",7450.937,6797.618,6879.456,6459.436,10097.55,11743.636,10167.118,9496.012
"ENSG00000100243",9581.044,8791.824,11005.23,9441.689,9150.388,9651.733,9713.215,8469.875
"ENSG00000100246",897,812,1049,967,1246,1377.998,1555.001,1210.999
"ENSG00000100249",0,0,0,1,0,0,0,0
"ENSG00000100253",75.794,49.714,60.612,51.461,68.732,63.689,73.189,62.877
"ENSG00000100258",3522,3559,2038.999,2135.999,4077.999,4766.998,3868,3466
"ENSG00000100263",2575.855,2213,1795.263,1813.868,2868.996,2960.55,2740.355,2400.625
"ENSG00000100266",6436,5840,6003.999,5616,6691.998,7568.999,6738,6202.002
"ENSG00000100271",487,444.001,513,354.999,753,794,857.999,688
"ENSG00000100276",7,10,18,0,5,2,26,11
"ENSG00000100280",5879.002,5969.001,6637.46,6169.405,5276.001,5402.036,5893.135,4951.897
"ENSG00000100281",4540.999,4091.001,2994.001,2563.999,4658,4906.001,3628.999,3503
"ENSG00000100284",1623.998,1453.001,2090.999,1889.001,2327,2472,2743.998,2652.003
"ENSG00000100285",56,46,60,33,122,91,127,109
"ENSG00000100288",1897.813,1941.221,1941.749,1927.034,2081.447,2189.311,2345.979,2292.374
"ENSG00000100290",23,26,148,134,9,22,32,25
"ENSG00000100292",369,333,651,485,295.001,354,762,786
"ENSG00000100294",2003,1580,1635.001,1500.001,1836.001,2049,1564,1327
"ENSG00000100296",4587.084,4100.117,4666.147,4683.056,5584.802,5957.32,5546.652,4973.102
"ENSG00000100297",12384.001,11325.001,1829,1942,14312.001,15250.999,4845,4620.001
"ENSG00000100298",2,2,5,7,0,0,11,12
"ENSG00000100299",410.214,442.942,975.985,1049.075,864.233,1008.699,1452.265,1246.253
"ENSG00000100300",5616,5307,5944,4849,4248.999,4705.001,4602,4108
"ENSG00000100302",682,590,284,300,1418,1587,1127,857
"ENSG00000100304",10237,9657.999,7552,6914.002,7196,8402,6273,5757
"ENSG00000100307",262,186.001,108.999,141,320,324.001,284,210
"ENSG00000100311",2736,2762.999,5156.001,4297.998,2709,2397,2524,2557
